Country,Confirmed,Deaths,Recovered,TotalDeath,Active,Newcases,Newdeaths,Newrecovered,Deathrate,Recoveredrate,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,Region
Lithuania,2019,80,1620,211144,319,11,0,4,3.96,80.24,4.94,1947,72,3.7,Europe
West Bank and Gaza,10621,78,3752,38339,6791,152,2,0,0.73,35.33,2.08,8916,1705,19.12,Mediterranean
Chad,922,75,810,12223,37,7,0,0,8.13,87.85,9.26,889,33,3.71,Africa
Liberia,1167,72,646,12223,449,5,0,5,6.17,55.36,11.15,1107,60,5.42,Africa
Estonia,2034,69,1923,211144,42,0,0,1,3.39,94.54,3.59,2021,13,0.64,Europe
Niger,1132,69,1027,12223,36,0,0,0,6.1,90.72,6.72,1105,27,2.44,Africa
Sierra Leone,1783,66,1317,12223,400,0,0,4,3.7,73.86,5.01,1711,72,4.21,Africa
Libya,2827,64,577,38339,2186,158,4,24,2.26,20.41,11.09,1980,847,42.78,Mediterranean
Tajikistan,7235,60,6028,211144,1147,43,1,58,0.83,83.32,1,6921,314,4.54,Europe
Central African Republic,4599,59,1546,12223,2994,0,0,0,1.28,33.62,3.82,4548,51,1.12,Africa
Djibouti,5059,58,4977,38339,24,9,0,11,1.15,98.38,1.17,5020,39,0.78,Mediterranean
Thailand,3297,58,3111,41349,128,6,0,2,1.76,94.36,1.86,3250,47,1.45,Asia
Congo (Brazzaville),3200,54,829,12223,2317,162,3,73,1.69,25.91,6.51,2851,349,12.24,Africa
Burkina Faso,1100,53,926,12223,121,14,0,6,4.82,84.18,5.72,1065,35,3.29,Africa
Andorra,907,52,803,211144,52,10,0,0,5.73,88.53,6.48,884,23,2.6,Europe
Lebanon,3882,51,1709,38339,2122,132,0,17,1.31,44.02,2.98,2905,977,33.63,Mediterranean
Equatorial Guinea,3071,51,842,12223,2178,0,0,0,1.66,27.42,6.06,3071,0,0,Africa
Tunisia,1455,50,1157,38339,248,3,0,15,3.44,79.52,4.32,1381,74,5.36,Mediterranean
Gabon,7189,49,4682,12223,2458,205,0,219,0.68,65.13,1.05,6433,756,11.75,Africa
Nepal,18752,48,13754,41349,4950,139,3,626,0.26,73.35,0.35,17844,908,5.09,Asia
South Sudan,2305,46,1175,12223,1084,43,1,0,2,50.98,3.91,2211,94,4.25,Africa
Guinea,7055,45,6257,12223,753,47,2,105,0.64,88.69,0.72,6590,465,7.06,Africa
Montenegro,2893,45,809,211144,2039,94,2,70,1.56,27.96,5.56,2188,705,32.22,Europe
Paraguay,4548,43,2905,342732,1600,104,2,111,0.95,63.87,1.48,3748,800,21.34,Americas
San Marino,699,42,657,211144,0,0,0,0,6.01,93.99,6.39,699,0,0,Europe
Angola,950,41,242,12223,667,18,1,0,4.32,25.47,16.94,749,201,26.84,Africa
Syria,674,40,0,38339,634,24,2,0,5.93,0,inf,522,152,29.12,Mediterranean
Zimbabwe,2704,36,542,12223,2126,192,2,24,1.33,20.04,6.64,1713,991,57.85,Africa
Benin,1770,35,1036,12223,699,0,0,0,1.98,58.53,3.38,1602,168,10.49,Africa
Uruguay,1202,35,951,342732,216,10,1,3,2.91,79.12,3.68,1064,138,12.97,Americas
Eswatini,2316,34,1025,12223,1257,109,2,39,1.47,44.26,3.32,1826,490,26.83,Africa
